Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Ward,Parish,Introduced,Terminated,Altitude,Country,Last Updated,Quality,LSOA Code,LSOA Name,LSOA Code 2021,LSOA Name 2021
EH1 1AA,No,55.953646,-3.188108,325910,674040,NT259740,City Centre,,1980-01-01,1996-12-01,71,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1AD,Yes,55.948894,-3.192590,325621,673515,NT256735,City Centre,,2009-06-01,,95,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1AE,Yes,55.949069,-3.189409,325820,673532,NT258735,City Centre,,2018-09-01,,87,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1AF,No,55.960377,-3.176701,326635,674776,NT266747,Leith Walk,,2004-11-01,2009-04-01,29,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008806,Hillside and Calton Hill - 01,S01014855,Hillside and Calton Hill - 01
EH1 1AG,Yes,55.947170,-3.189735,325796,673321,NT257733,City Centre,,2024-04-01,,79,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
EH1 1AL,No,55.953209,-3.186813,325990,673989,NT259739,City Centre,,1986-12-01,1996-12-01,65,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1AN,No,55.953017,-3.188088,325910,673969,NT259739,City Centre,,1995-12-01,1996-12-01,68,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1AQ,No,55.952201,-3.188864,325860,673879,NT258738,City Centre,,1974-01-01,1976-08-01,65,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BA,No,55.952027,-3.188218,325900,673859,NT258738,City Centre,,1990-12-01,1996-06-01,64,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BB,Yes,55.951957,-3.189945,325792,673854,NT257738,City Centre,,1980-01-01,,63,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BD,No,55.952322,-3.187506,325945,673892,NT259738,City Centre,,1980-01-01,2017-09-01,62,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BE,Yes,55.951957,-3.189945,325792,673854,NT257738,City Centre,,1980-01-01,,62,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BG,No,55.951957,-3.189945,325792,673854,NT257738,City Centre,,1980-01-01,2007-10-01,62,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008676,"Old Town, Princes Street and Leith Street - 03",S01014713,"Old Town, Princes Street and Leith Street - 03"
EH1 1BJ,No,55.950806,-3.190951,325727,673726,NT257737,City Centre,,1980-01-01,2015-12-01,74,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BL,Yes,55.950646,-3.191731,325678,673710,NT256737,City Centre,,2012-04-01,,75,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BN,Yes,55.950778,-3.190150,325777,673723,NT257737,City Centre,,1992-01-01,,76,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BP,Yes,55.950732,-3.190276,325769,673718,NT257737,City Centre,,1980-01-01,,77,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BQ,Yes,55.952627,-3.191295,325709,673930,NT257739,City Centre,,1980-01-01,,69,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BR,No,55.951110,-3.190112,325780,673759,NT257737,City Centre,,1992-07-01,1994-12-01,70,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BS,Yes,55.950716,-3.189139,325840,673715,NT258737,City Centre,,1980-01-01,,82,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BU,Yes,55.950587,-3.188494,325880,673699,NT258736,City Centre,,1980-01-01,,86,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BW,No,55.950665,-3.191571,325688,673711,NT256737,City Centre,,1980-01-01,1999-12-01,75,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BX,Yes,55.950871,-3.188887,325856,673732,NT258737,City Centre,,1980-01-01,,82,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1BY,No,55.951031,-3.188988,325850,673749,NT258737,City Centre,,1973-08-01,1977-07-01,77,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DA,No,55.949527,-3.187533,325938,673580,NT259735,City Centre,,1992-07-01,1999-06-01,82,Scotland,2026-05-29,Postcode sector mean (mainly PO Boxes),S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1DD,Yes,55.949585,-3.187102,325965,673586,NT259735,City Centre,,2009-08-01,,82,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008679,"Old Town, Princes Street and Leith Street - 06",S01014715,"Old Town, Princes Street and Leith Street - 06"
EH1 1DE,Yes,55.951133,-3.188751,325865,673761,NT258737,City Centre,,1980-01-01,,75,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DF,Yes,55.951228,-3.189987,325788,673772,NT257737,City Centre,,1980-01-01,,68,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DG,No,55.951138,-3.186365,326014,673759,NT260737,City Centre,,1980-01-01,1998-12-01,68,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DH,Yes,55.951182,-3.185454,326071,673762,NT260737,City Centre,,1980-01-01,,67,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DJ,No,55.950893,-3.184660,326120,673729,NT261737,City Centre,,1992-07-01,1995-12-01,69,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DN,No,55.951147,-3.186269,326020,673759,NT260737,City Centre,,1980-01-01,1995-12-01,68,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DR,Yes,55.950929,-3.184693,326118,673733,NT261737,City Centre,,1980-01-01,,68,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DS,No,55.950893,-3.184660,326120,673729,NT261737,City Centre,,1994-02-01,1995-12-01,69,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DT,Yes,55.950988,-3.184167,326151,673739,NT261737,City Centre,,1980-01-01,,66,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DU,No,55.950876,-3.186421,326010,673729,NT260737,City Centre,,1973-08-01,1983-03-01,73,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DW,No,55.950988,-3.184183,326150,673739,NT261737,City Centre,,1973-08-01,1977-03-01,66,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008677,"Old Town, Princes Street and Leith Street - 04",S01014713,"Old Town, Princes Street and Leith Street - 04"
EH1 1DY,No,55.976114,-3.183749,326225,676535,NT262765,Leith,,1980-01-01,2022-08-01,80,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008775,North Leith and Newhaven - 04,S01014826,North Leith and Newhaven - 04
EH1 1DZ,No,55.960377,-3.176701,326635,674776,NT266747,Leith Walk,,1990-12-01,2005-09-01,29,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008806,Hillside and Calton Hill - 01,S01014855,Hillside and Calton Hill - 01
EH1 1ED,No,55.945889,-3.190224,325763,673178,NT257731,City Centre,,1998-01-01,1998-07-01,93,Scotland,2026-05-29,Postcode terminated prior to Gridlink initiative - last known ONS postcode grid reference,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014710,"Old Town, Princes Street and Leith Street - 05"
EH1 1EE,Yes,55.947964,-3.192113,325649,673411,NT256734,City Centre,,1980-01-01,,90,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1EG,Yes,55.948446,-3.192512,325625,673466,NT256734,City Centre,,1980-01-01,,92,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1EH,No,55.947777,-3.191979,325657,673390,NT256733,City Centre,,2004-01-01,2005-08-01,90,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1EJ,Yes,55.947997,-3.191537,325685,673415,NT256734,City Centre,,1980-01-01,,91,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008674,"Old Town, Princes Street and Leith Street - 01",S01014710,"Old Town, Princes Street and Leith Street - 01"
EH1 1EL,Yes,55.947515,-3.191218,325704,673361,NT257733,City Centre,,1980-01-01,,91,Scotland,2026-05-29,Within the building of the matched address closest to the postcode mean,S01008678,"Old Town, Princes Street and Leith Street - 05",S01014714,"Old Town, Princes Street and Leith Street - 05"
