Postcode,Latitude,Longitude,LSOA Code,LSOA Name
EH1 1AD,55.948894,-3.192590,S01008674,"Old Town, Princes Street and Leith Street - 01"
EH1 1AE,55.949069,-3.189409,S01008678,"Old Town, Princes Street and Leith Street - 05"
EH1 1AG,55.947170,-3.189735,S01008678,"Old Town, Princes Street and Leith Street - 05"
EH1 1BB,55.951957,-3.189945,S01008676,"Old Town, Princes Street and Leith Street - 03"
EH1 1BE,55.951957,-3.189945,S01008676,"Old Town, Princes Street and Leith Street - 03"
EH1 1BL,55.950646,-3.191731,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1BN,55.950778,-3.190150,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1BP,55.950732,-3.190276,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1BQ,55.952627,-3.191295,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1BS,55.950716,-3.189139,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1BU,55.950587,-3.188494,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1BX,55.950871,-3.188887,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1DD,55.949585,-3.187102,S01008679,"Old Town, Princes Street and Leith Street - 06"
EH1 1DE,55.951133,-3.188751,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1DF,55.951228,-3.189987,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1DH,55.951182,-3.185454,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1DR,55.950929,-3.184693,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1DT,55.950988,-3.184167,S01008677,"Old Town, Princes Street and Leith Street - 04"
EH1 1EE,55.947964,-3.192113,S01008674,"Old Town, Princes Street and Leith Street - 01"
EH1 1EG,55.948446,-3.192512,S01008674,"Old Town, Princes Street and Leith Street - 01"
EH1 1EJ,55.947997,-3.191537,S01008674,"Old Town, Princes Street and Leith Street - 01"
EH1 1EL,55.947515,-3.191218,S01008678,"Old Town, Princes Street and Leith Street - 05"
EH1 1EN,55.947492,-3.191714,S01008678,"Old Town, Princes Street and Leith Street - 05"
EH1 1EY,55.946527,-3.190179,S01008678,"Old Town, Princes Street and Leith Street - 05"
EH1 1EZ,55.945884,-3.189839,S01008678,"Old Town, Princes Street and Leith Street - 05"
EH1 1HA,55.945884,-3.189839,S01008678,"Old Town, Princes Street and Leith Street - 05"
EH1 1HB,55.946113,-3.189334,S01008678,"Old Town, Princes Street and Leith Street - 05"
EH1 1HD,55.946565,-3.189124,S01008678,"Old Town, Princes Street and Leith Street - 05"
EH1 1HE,55.946495,-3.188929,S01008678,"Old Town, Princes Street and Leith Street - 05"
EH1 1HJ,55.948468,-3.187420,S01008679,"Old Town, Princes Street and Leith Street - 06"
